5.00E-02,20.5,0.35,-35.35371633,1,,,,,
1.00E-01,20.5,0.65,-29.97681009,1,,,,,
5.00E-01,20.5,3.19,-16.15926356,1,,,,,
2.00E+00,20.5,11,-5.407223518,1,,,,,
3.00E+00,20.5,14.1,-3.250694968,1,,,,,
5.00E+00,20.5,17.2,-1.524508283,1,,,,,
1.00E+01,20.5,19.4,-0.479042623,1,,,,,
2.00E+01,20.5,20.3,-0.085156463,1,,,,,
5.00E+01,20.5,20.5,0,1,,,,,
10000,20.5,20.5,0,1,,,,,
100000,20.5,20.4,-0.042473873,1,,,,,
200000,20.5,20.3,-0.085156463,1,,,,,
500000,20.5,20.3,-0.085156463,1,,,,,
1000000,20.5,20.2,-0.128049832,1,,,,,
2000000,20.5,19.8,-0.301773416,1,,,,,
3000000,20.5,19.2,-0.569052647,1,,,,,
4000000,20.5,18.5,-0.891642653,1,,,,,
5000000,20.5,17.7,-1.275611894,1,,,,,
6000000,20.5,16.7,-1.780747798,1,,,,,
7000000,20.5,15.8,-2.261935482,1,,,,,
8000000,20.5,15,-2.71325204,1,,,,,
8500000,20.5,14.5,-3.007717176,1,,,,,
9000000,20.5,14,-3.312516508,1,,,,,
10000000,20.5,13.3,-3.758044402,1,,,,,
12000000,20.5,11.5,-5.021120414,1,,,,,
15000000,20.5,9.4,-6.772520149,1,,,,,
20000000,20.5,6.8,-9.584898967,1,,,,,
25000000,20.5,4.8,-12.61025247,1,,,,,
30000000,20.5,3.6,-15.10902721,1,,,,,
40000000,20.5,2.1,-19.79069133,1,,,,,
50000000,20.5,1.2,-24.6514523,1,,,,,
