1.00000000000000e+003	;-1.24825368494585e-004;-2.04688768818034e-002	;-7.08465918158194e-003;-2.31382717650238e+000
1.02329299228075e+003	;-1.30698255234513e-004;-2.09440635694119e-002	;-7.41826387932345e-003;-2.36766249653994e+000
1.04712854805090e+003	;-1.36846964184072e-004;-2.14302049910838e-002	;-7.76756341828799e-003;-2.42274747157700e+000
1.07151930523761e+003	;-1.43284402229172e-004;-2.19275482098983e-002	;-8.13329482874251e-003;-2.47911090083641e+000
1.09647819614319e+003	;-1.50024075678203e-004;-2.24363454680198e-002	;-8.51622962167002e-003;-2.53678223235385e+000
1.12201845430196e+003	;-1.57080117662040e-004;-2.29568542666365e-002	;-8.91717538935136e-003;-2.59579157652782e+000
1.14815362149688e+003	;-1.64467316752685e-004;-2.34893374449073e-002	;-9.33697747904727e-003;-2.65616971987465e+000
1.17489755493953e+003	;-1.72201146818939e-004;-2.40340632576986e-002	;-9.77652074297136e-003;-2.71794813898587e+000
1.20226443461741e+003	;-1.80297798219465e-004;-2.45913054518715e-002	;-1.02367313679445e-002;-2.78115901468420e+000
1.23026877081238e+003	;-1.88774210346813e-004;-2.51613433408621e-002	;-1.07185787881973e-002;-2.84583524637400e+000
1.25892541179417e+003	;-1.97648105580374e-004;-2.57444618772756e-002	;-1.12230776849292e-002;-2.91201046658125e+000
1.28824955169313e+003	;-2.06938024724508e-004;-2.63409517231917e-002	;-1.17512900764309e-002;-2.97971905567745e+000
1.31825673855641e+003	;-2.16663363975371e-004;-2.69511093178575e-002	;-1.23043275026640e-002;-3.04899615678081e+000
1.34896288259165e+003	;-2.26844413474391e-004;-2.75752369424157e-002	;-1.28833533083465e-002;-3.11987769082747e+000
1.38038426460288e+003	;-2.37502397503493e-004;-2.82136427812902e-002	;-1.34895850287876e-002;-3.19240037180432e+000
1.41253754462275e+003	;-2.48659516406104e-004;-2.88666409798216e-002	;-1.41242968828765e-002;-3.26660172213405e+000
1.44543977074593e+003	;-2.60338990281323e-004;-2.95345516977143e-002	;-1.47888223777138e-002;-3.34252008820205e+000
1.47910838816821e+003	;-2.72565104502537e-004;-3.02177011578242e-002	;-1.54845570296305e-002;-3.42019465601325e+000
1.51356124843621e+003	;-2.85363257160937e-004;-3.09164216897799e-002	;-1.62129612064785e-002;-3.49966546696621e+000
1.54881661891248e+003	;-2.98760008465948e-004;-3.16310517678941e-002	;-1.69755630962141e-002;-3.58097343372987e+000
1.58489319246111e+003	;-3.12783132205000e-004;-3.23619360427821e-002	;-1.77739618070755e-002;-3.66416035620736e+000
1.62181009735893e+003	;-3.27461669296608e-004;-3.31094253660604e-002	;-1.86098306046502e-002;-3.74926893756928e+000
1.65958690743756e+003	;-3.42825983530556e-004;-3.38738768074571e-002	;-1.94849202915360e-002;-3.83634280033745e+000
1.69824365246174e+003	;-3.58907819568724e-004;-3.46556536636136e-002	;-2.04010627353037e-002;-3.92542650249822e+000
1.73780082874937e+003	;-3.75740363251220e-004;-3.54551254578123e-002	;-2.13601745507228e-002;-4.01656555362233e+000
1.77827941003892e+003	;-3.93358304319994e-004;-3.62726679298062e-002	;-2.23642609424165e-002;-4.10980643096657e+000
1.81970085860998e+003	;-4.11797901578585e-004;-3.71086630148734e-002	;-2.34154197142472e-002;-4.20519659552991e+000
1.86208713666287e+003	;-4.31097050610860e-004;-3.79634988111597e-002	;-2.45158454519293e-002;-4.30278450803450e+000
1.90546071796325e+003	;-4.51295354091929e-004;-3.88375695343067e-002	;-2.56678338856121e-002;-4.40261964479964e+000
1.94984459975804e+003	;-4.72434194793899e-004;-3.97312754583001e-002	;-2.68737864392565e-002;-4.50475251347368e+000
1.99526231496888e+003	;-4.94556811300445e-004;-4.06450228413987e-002	;-2.81362149738278e-002;-4.60923466858628e+000
2.04173794466953e+003	;-5.17708376561868e-004;-4.15792238359343e-002	;-2.94577467316055e-002;-4.71611872688027e+000
2.08929613085404e+003	;-5.41936079284453e-004;-4.25342963806934e-002	;-3.08411294888796e-002;-4.82545838237891e+000
2.13796208950223e+003	;-5.67289208285899e-004;-4.35106640745074e-002	;-3.22892369246499e-002;-4.93730842114122e+000
2.18776162394955e+003	;-5.93819239801065e-004;-4.45087560295985e-002	;-3.38050742129677e-002;-5.05172473565399e+000
2.23872113856834e+003	;-6.21579927838123e-004;-4.55290067031313e-002	;-3.53917838467328e-002;-5.16876433880535e+000
2.29086765276777e+003	;-6.50627397606096e-004;-4.65718557053314e-002	;-3.70526517008955e-002;-5.28848537738061e+000
2.34422881531992e+003	;-6.81020242061927e-004;-4.76377475824317e-002	;-3.87911133430630e-002;-5.41094714501653e+000
2.39883291901949e+003	;-7.12819621594351e-004;-4.87271315726048e-002	;-4.06107605996976e-002;-5.53621009454562e+000
2.45470891568503e+003	;-7.46089366896689e-004;-4.98404613329346e-002	;-4.25153483860059e-002;-5.66433584965708e+000
2.51188643150958e+003	;-7.80896084991040e-004;-5.09781946353663e-002	;-4.45088018078289e-002;-5.79538721579569e+000
2.57039578276886e+003	;-8.17309268456153e-004;-5.21407930294642e-002	;-4.65952235436927e-002;-5.92942819021457e+000
2.63026799189538e+003	;-8.55401407822592e-004;-5.33287214696815e-002	;-4.87789015153191e-002;-6.06652397109162e+000
2.69153480392691e+003	;-8.95248107099897e-004;-5.45424479047306e-002	;-5.10643168546675e-002;-6.20674096561366e+000
2.75422870333816e+003	;-9.36928202418859e-004;-5.57824428265109e-002	;-5.34561521756473e-002;-6.35014679692557e+000
